file,start,stop,hand
../training-videos/ok/AC_OK.mp4,136,170,Left
../training-videos/ok/AC_OK.mp4,219,251,Right
../training-videos/ok/db_OK.mp4,49,66,Right
../training-videos/ok/db_OK.mp4,116,132,Right
../training-videos/ok/db_OK.mp4,187,208,Right
../training-videos/ok/EM_OK.mp4,132,204,Right
../training-videos/ok/gg_ok.mp4,122,174,Left
../training-videos/ok/gg_ok.mp4,241,285,Left
../training-videos/ok/gg_ok.mp4,437,483,Right
../training-videos/ok/gg_ok.mp4,550,591,Right
../training-videos/ok/JdN_ok.mp4,159,210,Left
../training-videos/ok/JdN_ok.mp4,246,300,Right
../training-videos/ok/JdN_ok.mp4,346,398,Left
../training-videos/ok/JdN_ok.mp4,451,512,Right
../training-videos/ok/JdN_ok.mp4,571,597,Left
../training-videos/ok/JdN_ok.mp4,635,681,Right
../training-videos/ok/kt_OK0.mp4,57,148,Right
../training-videos/ok/kt_OK0.mp4,222,292,Left
../training-videos/ok/kt_OK1.mp4,130,185,Right
../training-videos/ok/kt_OK1.mp4,202,206,Right
../training-videos/ok/lh_OK.mp4,64,103,Left
../training-videos/ok/lh_OK.mp4,174,246,Right
../training-videos/ok/ljh_OK.mp4,91,156,Left
../training-videos/ok/ljh_OK.mp4,264,328,Right
../training-videos/ok/MGB_OK.mp4,47,101,Left
../training-videos/ok/MGB_OK.mp4,239,309,Right
../training-videos/ok/ND_OK.mp4,71,244,Right
../training-videos/ok/ND_OK.mp4,336,558,Left
../training-videos/ok/NS_OK.mp4,101,139,Left
../training-videos/ok/NS_OK.mp4,171,213,Left
../training-videos/ok/NS_OK.mp4,254,310,Left
../training-videos/ok/NS_OK.mp4,370,406,Left
../training-videos/ok/NS_OK.mp4,429,470,Right
../training-videos/ok/NS_OK.mp4,494,531,Right
../training-videos/ok/NS_OK.mp4,557,592,Right
../training-videos/ok/RC_ok.mp4,70,176,Left
../training-videos/ok/RC_ok.mp4,279,404,Right
../training-videos/ok/rh_ok1.mp4,139,362,Right
../training-videos/ok/rh_ok1.mp4,433,659,Left
../training-videos/ok/ts_ok.mp4,137,164,Left
../training-videos/ok/ts_ok.mp4,228,252,Left
../training-videos/ok/ts_ok.mp4,309,348,Left
../training-videos/ok/TSG_OK.mp4,79,117,Right
../training-videos/ok/TSG_OK.mp4,237,336,Left
../training-videos/ok/TSG_OK.mp4,453,518,Right
../training-videos/ok/TSG_OK.mp4,619,683,Left
../training-videos/ok/rh_ok2.mp4,45,874,Right
