file,start,stop,hand
../training-videos/raise-hand/gg_raisehand.mp4,36,40,Left
../training-videos/raise-hand/gg_raisehand.mp4,78,81,Left
../training-videos/raise-hand/gg_raisehand.mp4,115,118,Right
../training-videos/raise-hand/gg_raisehand.mp4,151,152,Right
../training-videos/raise-hand/JdN_raisehand.mp4,65,97,Left
../training-videos/raise-hand/JdN_raisehand.mp4,150,178,Right
../training-videos/raise-hand/lh_raisehand.mp4,14,43,Left
../training-videos/raise-hand/lh_raisehand.mp4,67,92,Right
../training-videos/raise-hand/ljh_raisehand.mp4,59,113,Left
../training-videos/raise-hand/ljh_raisehand.mp4,171,229,Right
../training-videos/raise-hand/MGB_raisehand.mp4,36,53,Left
../training-videos/raise-hand/MGB_raisehand.mp4,121,159,Left
../training-videos/raise-hand/MGB_raisehand.mp4,217,268,Right
../training-videos/raise-hand/ND_raisehand.mp4,75,270,Right
../training-videos/raise-hand/ND_raisehand.mp4,321,636,Left
../training-videos/raise-hand/NS_raisehand.mp4,25,54,Left
../training-videos/raise-hand/NS_raisehand.mp4,95,114,Left
../training-videos/raise-hand/NS_raisehand.mp4,144,180,Right
../training-videos/raise-hand/NS_raisehand.mp4,206,320,Right
../training-videos/raise-hand/NS_raisehand.mp4,257,283,Left
../training-videos/raise-hand/NS_raisehand.mp4,313,359,Left
../training-videos/raise-hand/NS_raisehand.mp4,401,449,Left
../training-videos/raise-hand/NS_raisehand.mp4,503,524,Left
../training-videos/raise-hand/rh_raisehand0.mp4,36,116,Left
../training-videos/raise-hand/rh_raisehand0.mp4,191,248,Right
../training-videos/raise-hand/rh_raisehand1.mp4,62,219,Left
../training-videos/raise-hand/rh_raisehand1.mp4,270,433,Right
../training-videos/raise-hand/rjc_raisehand.mp4,79,161,Left
../training-videos/raise-hand/rjc_raisehand.mp4,209,302,Right
../training-videos/raise-hand/TS_raisehand.mp4,14,49,Left
../training-videos/raise-hand/TS_raisehand.mp4,106,138,Left
../training-videos/raise-hand/TS_raisehand.mp4,196,233,Left
../training-videos/raise-hand/TS_raisehand.mp4,301,340,Left
../training-videos/raise-hand/TSG_raisehand.mp4,43,89,Left
../training-videos/raise-hand/TSG_raisehand.mp4,164,208,Right
../training-videos/raise-hand/TSG_raisehand.mp4,284,336,Left
../training-videos/raise-hand/TSG_raisehand.mp4,420,447,Right
../training-videos/raise-hand/gd_raisehand.mp4,71,136,Left
../training-videos/raise-hand/gd_raisehand.mp4,189,245,Right
../training-videos/raise-hand/rh_raisehand2.mp4,81,358,Left
../training-videos/raise-hand/rh_raisehand3.mp4,49,336,Right
../training-videos/raise-hand/rh_raisehand4.mp4,61,478,Right
../training-videos/raise-hand/rh_raisehand4.mp4,548,1061,Left
